time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-03-09	4176656	4176656	4176656	0	0	0	0	0	0	153	153	153	65	65	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-10	4176621	4176620	4176622	0	0	0	0	0	0	114	113	115	125	125	125	0	0	0	14	13	14	0	0	0	0	0	0	0	0	0
2020-03-11	4176569	4176567	4176572	1	1	1	0	0	0	105	103	107	165	164	165	0	0	0	34	34	34	0	0	0	1	1	1	0	0	0
2020-03-12	4176506	4176501	4176511	1	1	1	0	0	0	115	112	119	193	192	194	0	0	0	59	59	59	0	0	0	1	1	1	0	0	0
2020-03-13	4176433	4176424	4176441	1	1	1	0	0	0	132	127	137	220	217	223	0	0	0	88	88	89	0	0	0	2	2	2	0	0	0
2020-03-14	4176349	4176337	4176361	2	2	2	0	0	0	151	144	157	251	247	256	0	0	0	121	121	122	0	0	0	3	3	3	0	0	0
2020-03-15	4176256	4176239	4176273	2	2	2	0	0	0	170	162	178	286	280	293	0	0	0	159	158	161	1	1	1	4	4	4	0	0	0
2020-03-16	4176151	4176127	4176174	2	2	2	1	1	1	192	182	203	326	316	336	0	0	0	203	200	206	1	1	1	5	5	5	0	0	0
2020-03-17	4176031	4175999	4176061	3	2	3	1	1	1	218	205	232	371	358	384	0	0	0	252	247	256	1	1	1	6	6	6	0	0	0
2020-03-18	4175896	4175855	4175936	3	3	3	1	1	1	246	231	263	421	404	439	0	0	0	308	301	314	1	1	1	7	7	7	0	0	0
2020-03-19	4175763	4175711	4175812	3	3	3	1	1	1	260	242	279	477	455	500	0	0	0	371	362	381	2	2	2	8	8	9	0	0	0
2020-03-20	4175613	4175549	4175674	4	4	4	2	2	2	281	260	304	534	507	563	0	0	0	443	430	456	2	2	2	10	10	10	0	0	0
2020-03-21	4175446	4175367	4175521	4	4	4	2	2	2	310	285	336	593	559	628	0	0	0	522	505	540	3	2	3	12	11	12	0	0	0
2020-03-22	4175261	4175164	4175353	5	4	5	2	2	2	343	313	374	656	616	698	0	0	0	610	588	634	3	3	3	14	13	14	0	0	0
2020-03-23	4175056	4174939	4175167	5	5	5	3	3	3	379	345	416	726	678	777	0	0	0	708	679	738	4	4	4	16	15	16	0	0	0
2020-03-24	4174831	4174690	4174964	6	5	6	3	3	3	419	379	462	804	746	864	0	0	0	816	780	854	4	4	4	18	17	19	0	0	0
2020-03-25	4174594	4174426	4174752	6	6	7	4	4	4	450	406	499	888	821	960	0	0	0	936	891	982	5	5	5	20	19	21	1	1	1
2020-03-26	4174333	4174135	4174519	7	7	8	4	4	5	490	439	545	978	899	1063	0	0	0	1067	1012	1125	6	6	6	23	22	24	1	1	1
2020-03-27	4174047	4173812	4174265	8	7	8	5	5	5	536	477	600	1073	981	1172	0	0	0	1212	1145	1283	7	7	7	26	25	28	1	1	1
