time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-03-09	4176656	4176656	4176656	0	0	0	0	0	0	153	153	153	65	65	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-10	4176622	4176621	4176623	0	0	0	0	0	0	113	112	114	125	125	125	0	0	0	14	13	14	0	0	0	0	0	0	0	0	0
2020-03-11	4176571	4176568	4176574	1	1	1	0	0	0	104	101	106	165	164	165	0	0	0	34	34	34	0	0	0	1	1	1	0	0	0
2020-03-12	4176509	4176504	4176514	1	1	1	0	0	0	113	109	116	192	191	193	0	0	0	59	59	59	0	0	0	1	1	1	0	0	0
2020-03-13	4176437	4176429	4176445	1	1	1	0	0	0	129	124	133	219	216	221	0	0	0	88	88	88	0	0	0	2	2	2	0	0	0
2020-03-14	4176356	4176344	4176368	2	2	2	0	0	0	147	141	153	248	244	253	0	0	0	121	120	122	0	0	0	3	3	3	0	0	0
2020-03-15	4176263	4176246	4176280	2	2	2	0	0	0	168	160	176	282	276	289	0	0	0	158	157	160	1	1	1	4	4	4	0	0	0
2020-03-16	4176157	4176134	4176180	2	2	2	1	1	1	192	182	203	322	312	331	0	0	0	201	198	204	1	1	1	5	5	5	0	0	0
2020-03-17	4176037	4176005	4176067	3	2	3	1	1	1	219	206	232	367	354	380	0	0	0	250	245	254	1	1	1	6	6	6	0	0	0
2020-03-18	4175901	4175860	4175941	3	3	3	1	1	1	247	231	264	418	401	435	0	0	0	305	298	312	1	1	1	7	7	7	0	0	0
2020-03-19	4175773	4175723	4175822	3	3	3	1	1	1	255	237	274	474	453	497	0	0	0	368	359	377	2	2	2	8	8	9	0	0	0
2020-03-20	4175629	4175567	4175690	4	4	4	2	2	2	272	252	294	530	503	558	0	0	0	439	426	452	2	2	2	10	10	10	0	0	0
2020-03-21	4175470	4175393	4175543	4	4	4	2	2	2	298	274	323	585	552	619	0	0	0	518	501	535	2	2	3	12	11	12	0	0	0
2020-03-22	4175294	4175200	4175383	5	4	5	2	2	2	327	300	357	644	605	685	0	0	0	605	583	627	3	3	3	13	13	14	0	0	0
